Date,CO
1/1/2016,5.75
1/2/2016,3.45
1/3/2016,3.8
1/4/2016,3.55
1/5/2016,3.65
1/6/2016,5.48
1/7/2016,2.8
1/8/2016,1.79
1/9/2016,1.56
1/10/2016,1.69
1/11/2016,2.59
1/12/2016,4.71
1/13/2016,6.21
1/14/2016,4.23
1/15/2016,3.26
1/16/2016,2.34
1/17/2016,2.31
1/18/2016,2.8
1/19/2016,1.39
1/20/2016,1.36
1/21/2016,1.36
1/22/2016,1.06
1/23/2016,1.93
1/24/2016,2.12
1/25/2016,2.98
1/26/2016,2.49
1/27/2016,1.84
1/28/2016,1.85
1/29/2016,2.27
1/30/2016,2.38
1/31/2016,2.25
2/1/2016,2.02
2/2/2016,1.4
2/3/2016,1.16
2/4/2016,1.29
2/5/2016,2.22
2/6/2016,1.83
2/7/2016,1.92
2/8/2016,1.9
2/9/2016,1.55
2/10/2016,1.6
2/11/2016,2.36
2/12/2016,1.95
2/13/2016,2.84
2/14/2016,1.98
2/15/2016,1.6
2/16/2016,1.02
2/17/2016,1.98
2/18/2016,1.06
2/19/2016,1.11
2/20/2016,1.33
2/21/2016,0.62
2/22/2016,0.89
2/23/2016,1.16
2/24/2016,1.36
2/25/2016,1.37
2/26/2016,0.79
2/27/2016,1.41
2/28/2016,2.43
2/29/2016,1.46
3/1/2016,1.24
3/2/2016,1.57
3/3/2016,1.51
3/4/2016,2.68
3/5/2016,1.67
3/6/2016,1.26
3/7/2016,1.05
3/8/2016,0.99
3/9/2016,1.02
3/10/2016,0.39
3/11/2016,3.12
3/12/2016,1.55
3/13/2016,0.69
3/14/2016,1.49
3/15/2016,1.38
3/16/2016,1.17
3/17/2016,1.65
3/18/2016,1.7
3/19/2016,1.6
3/20/2016,1.5
3/21/2016,1.42
3/22/2016,0.59
3/23/2016,1.9
3/24/2016,2.08
3/25/2016,1.54
3/26/2016,1.54
3/27/2016,1.53
3/28/2016,1.15
3/29/2016,1.3
3/30/2016,1.82
3/31/2016,2.01
4/1/2016,1.32
4/2/2016,1.29
4/3/2016,1.48
4/4/2016,1.76
4/5/2016,1.15
4/6/2016,1.06
4/7/2016,1.1
4/8/2016,1.52
4/9/2016,1.41
4/10/2016,1.17
4/11/2016,1.4
4/12/2016,1.26
4/13/2016,1.79
4/14/2016,1.28
4/15/2016,1.36
4/16/2016,1.47
4/17/2016,1.14
4/18/2016,1.44
4/19/2016,2.09
4/20/2016,1.48
4/21/2016,1.14
4/22/2016,1.1
4/23/2016,1.22
4/24/2016,0.55
4/25/2016,0.87
4/26/2016,1.27
4/27/2016,2.35
4/28/2016,1.49
4/29/2016,1.23
4/30/2016,2.44
5/1/2016,2.7
5/2/2016,1.39
5/3/2016,1.26
5/4/2016,1.32
5/5/2016,1.6
5/6/2016,1.64
5/7/2016,1.28
5/8/2016,1.1
5/9/2016,0.89
5/10/2016,3.03
5/11/2016,1.32
5/12/2016,1.36
5/13/2016,1.22
5/14/2016,1.21
5/15/2016,1.14
5/16/2016,1.8
5/17/2016,1.36
5/18/2016,1.27
5/19/2016,1.21
5/20/2016,1.22
5/21/2016,2.08
5/22/2016,1.28
5/23/2016,1.48
5/24/2016,1.42
5/25/2016,1.35
5/26/2016,1.48
5/27/2016,1.19
5/28/2016,1.15
5/29/2016,1.34
5/30/2016,1.9
5/31/2016,1.59
6/1/2016,1.51
6/2/2016,1.53
6/3/2016,1.73
6/4/2016,1.32
6/5/2016,1.24
6/6/2016,0.68
6/7/2016,6.44
6/8/2016,1.44
6/9/2016,1.48
6/10/2016,0.87
6/11/2016,1.23
6/12/2016,1.1
6/13/2016,1.08
6/14/2016,1.95
6/15/2016,1.14
6/16/2016,1.09
6/17/2016,2.44
6/18/2016,1.89
6/19/2016,1.11
6/20/2016,1.26
6/21/2016,1.05
6/22/2016,1.46
6/23/2016,0.91
6/24/2016,1.3
6/25/2016,1.19
6/26/2016,1.26
6/27/2016,1.21
6/28/2016,0.9
6/29/2016,1.4
6/30/2016,0.6
7/1/2016,1.2
7/2/2016,1.37
7/3/2016,0.51
7/4/2016,1.7
7/5/2016,
7/6/2016,1.41
7/7/2016,
7/8/2016,2.61
7/9/2016,1.14
7/10/2016,1.3
7/11/2016,
7/12/2016,
7/13/2016,2.17
7/14/2016,1.26
7/15/2016,1.26
7/16/2016,
7/17/2016,2.59
7/18/2016,1.12
7/19/2016,
7/20/2016,1.32
7/21/2016,0.75
7/22/2016,
7/23/2016,0.54
7/24/2016,1.95
7/25/2016,
7/26/2016,1.26
7/27/2016,
7/28/2016,1.15
7/29/2016,0.82
7/30/2016,
7/31/2016,1.02
8/1/2016,0.96
8/2/2016,1.09
8/3/2016,
8/4/2016,0.81
8/5/2016,
8/6/2016,0.83
8/7/2016,
8/8/2016,0.84
8/9/2016,
8/10/2016,1
8/11/2016,
8/12/2016,1.43
8/13/2016,0.93
8/14/2016,
8/15/2016,1.25
8/16/2016,1.21
8/17/2016,1.59
8/18/2016,1.14
8/19/2016,
8/20/2016,1.18
8/21/2016,1.02
8/22/2016,1.04
8/23/2016,
8/24/2016,1.25
8/25/2016,1.03
8/26/2016,
8/27/2016,1.66
8/28/2016,0.98
8/29/2016,
8/30/2016,1.3
8/31/2016,1.2
9/1/2016,
9/2/2016,0.89
9/3/2016,
9/4/2016,0.79
9/5/2016,
9/6/2016,1.57
9/7/2016,
9/8/2016,1.88
9/9/2016,1.24
9/10/2016,1.13
9/11/2016,
9/12/2016,0.87
9/13/2016,2.05
9/14/2016,1.64
9/15/2016,1.14
9/16/2016,1.67
9/17/2016,0.76
9/18/2016,
9/19/2016,0.8
9/20/2016,
9/21/2016,1.13
9/22/2016,
9/23/2016,1.17
9/24/2016,
9/25/2016,0.58
9/26/2016,1.32
9/27/2016,1.44
9/28/2016,1.46
9/29/2016,1.07
9/30/2016,1.41
10/1/2016,1.13
10/2/2016,
10/3/2016,1.56
10/4/2016,1.61
10/5/2016,
10/6/2016,2.43
10/7/2016,
10/8/2016,0.85
10/9/2016,1.35
10/10/2016,1.95
10/11/2016,
10/12/2016,
10/13/2016,1.02
10/14/2016,
10/15/2016,1.3
10/16/2016,0.86
10/17/2016,
10/18/2016,1.41
10/19/2016,1.47
10/20/2016,
10/21/2016,1.22
10/22/2016,
10/23/2016,1.14
10/24/2016,1.45
10/25/2016,
10/26/2016,1.52
10/27/2016,1.68
10/28/2016,1.87
10/29/2016,1.48
10/30/2016,
10/31/2016,1.59
11/1/2016,1.36
11/2/2016,1.41
11/3/2016,
11/4/2016,2.03
11/5/2016,
11/6/2016,0.77
11/7/2016,1.35
11/8/2016,1.44
11/9/2016,1.66
11/10/2016,1.77
11/11/2016,
11/12/2016,1.51
11/13/2016,1.6
11/14/2016,
11/15/2016,1.54
11/16/2016,1.52
11/17/2016,1.82
11/18/2016,
11/19/2016,2.23
11/20/2016,
11/21/2016,2.01
11/22/2016,1.97
11/23/2016,3.07
11/24/2016,
11/25/2016,2.57
11/26/2016,
11/27/2016,3.34
11/28/2016,2.97
11/29/2016,
11/30/2016,3.42
12/1/2016,2.27
12/2/2016,
12/3/2016,2.21
12/4/2016,
12/5/2016,2.63
12/6/2016,2.46
12/7/2016,
12/8/2016,
12/9/2016,1.79
12/10/2016,1.87
12/11/2016,1.86
12/12/2016,
12/13/2016,1.96
12/14/2016,
12/15/2016,2.91
12/16/2016,4.64
12/17/2016,
12/18/2016,
12/19/2016,2.26
12/20/2016,3.4
12/21/2016,
12/22/2016,4.18
12/23/2016,
12/24/2016,6.23
12/25/2016,
12/26/2016,2.41
12/27/2016,
12/28/2016,1.98
12/29/2016,
12/30/2016,2.34
12/31/2016,1.82
